collection,column_name,data_type_or_note,key_type
users,name,String,
users,email,String,UNIQUE
users,password,String,select:false
users,role,Enum(user|admin),
users,createdAt,Date,timestamps
users,updatedAt,Date,timestamps
productcategories,category_id,String,UNIQUE
productcategories,category_name,String,
productcategories,department,String,
productcategories,storage_requirement,String,
productcategories,perishable_flag,Boolean,
productcategories,status,String,
productcategories,category_description,String,
productcategories,avg_margin_percentage,Number,
productcategories,avg_inventory_turnover,Number,
productcategories,seasonality_type,String,
productcategories,demand_pattern,String,
productcategories,createdAt,Date,timestamps
productcategories,updatedAt,Date,timestamps
suppliers,supplier_id,String,UNIQUE
suppliers,supplier_name,String,
suppliers,supplier_type,String,
suppliers,city,String,
suppliers,state,String,
suppliers,pincode,String,
suppliers,contact_number,String,
suppliers,supplied_categories,String,
suppliers,lead_time_days,Number,
suppliers,minimum_order_quantity,Number,
suppliers,payment_terms,String,
suppliers,supplier_rating,String,
suppliers,status,String,
suppliers,gst_number,String,
suppliers,on_time_delivery_percentage,Number,
suppliers,defect_rate_percentage,Number,
suppliers,average_supply_capacity,Number,
suppliers,preferred_supplier_flag,Boolean,
suppliers,emergency_supply_support,Boolean,
suppliers,createdAt,Date,timestamps
suppliers,updatedAt,Date,timestamps
warehouses,warehouse_id,String,UNIQUE
warehouses,warehouse_code,String,
warehouses,warehouse_name,String,
warehouses,warehouse_type,String,
warehouses,city,String,
warehouses,area,String,
warehouses,state,String,
warehouses,pincode,String,
warehouses,latitude,Number,
warehouses,longitude,Number,
warehouses,total_capacity_units,Number,
warehouses,cold_storage_available,Boolean,
warehouses,loading_docks,Number,
warehouses,operating_hours,String,
warehouses,manager_name,String,
warehouses,status,String,
warehouses,avg_dispatch_time_hours,Number,
warehouses,power_backup_flag,Boolean,
warehouses,automation_level,String,
warehouses,warehouse_zone,String,
warehouses,transport_partners,String,
warehouses,security_level,String,
warehouses,createdAt,Date,timestamps
warehouses,updatedAt,Date,timestamps
stores,store_id,String,UNIQUE
stores,store_code,String,
stores,store_name,String,
stores,city,String,
stores,area,String,
stores,state,String,
stores,pincode,String,
stores,latitude,Number,
stores,longitude,Number,
stores,opening_time,String,
stores,closing_time,String,
stores,store_size_sqft,Number,
stores,warehouse_id,String,FK(logical)
stores,max_storage_capacity,Number,
stores,avg_daily_customers,Number,
stores,store_type,String,
stores,status,String,
stores,parking_available,Boolean,
stores,premium_customer_ratio,Number,
stores,footfall_peak_hours,String,
stores,online_delivery_supported,Boolean,
stores,demographic_profile,String,
stores,income_segment,String,
stores,createdAt,Date,timestamps
stores,updatedAt,Date,timestamps
products,sku_id,String,UNIQUE
products,sku_code,String,
products,sku_name,String,
products,category_id,String,FK(logical)
products,subcategory_id,String,
products,brand,String,
products,package_size,String,
products,unit_type,String,
products,mrp,Number,
products,selling_price,Number,
products,cost_price,Number,
products,gst_percentage,Number,
products,shelf_life_days,Number,
products,perishable_flag,Boolean,
products,storage_type,String,
products,behavior_type,String,
products,seasonal_flag,Boolean,
products,festival_relevance,String,
products,private_label_flag,Boolean,
products,supplier_id,String,FK(logical)
products,reorder_level,Number,
products,reorder_quantity,Number,
products,status,String,
products,product_margin_percentage,Number,
products,weight_grams,Number,
products,lead_time_days,Number,
products,createdAt,Date,timestamps
products,updatedAt,Date,timestamps
inventorystates,inventory_state_id,String,UNIQUE
inventorystates,state_name,String,UNIQUE
inventorystates,description,String,
inventorystates,severity_level,String,
inventorystates,replenishment_required,Boolean,
inventorystates,sellable_flag,Boolean,
inventorystates,auto_alert_flag,Boolean,
inventorystates,dashboard_color_code,String,
inventorystates,escalation_required,Boolean,
inventorystates,warehouse_action_required,Boolean,
inventorystates,createdAt,Date,timestamps
inventorystates,updatedAt,Date,timestamps
stockpatterns,stock_pattern_id,String,UNIQUE
stockpatterns,sku_id,String,UNIQUE; FK(logical)
stockpatterns,movement_type,String,
stockpatterns,avg_daily_sales,Number,
stockpatterns,replenishment_frequency_days,Number,
stockpatterns,demand_variability_score,Number,
stockpatterns,stockout_risk_level,String,
stockpatterns,shelf_life_risk,String,
stockpatterns,lead_time_days,Number,
stockpatterns,seasonal_peak_months,String,
stockpatterns,weather_sensitivity,String,
stockpatterns,promotion_sensitivity,String,
stockpatterns,markdown_risk,String,
stockpatterns,return_rate_percentage,Number,
stockpatterns,createdAt,Date,timestamps
stockpatterns,updatedAt,Date,timestamps
warehousestorerelationships,relationship_id,String,UNIQUE
warehousestorerelationships,warehouse_id,String,FK(logical)
warehousestorerelationships,store_id,String,FK(logical)
warehousestorerelationships,primary_supply_flag,Boolean,
warehousestorerelationships,lead_time_hours,Number,
warehousestorerelationships,delivery_frequency,String,
warehousestorerelationships,transport_mode,String,
warehousestorerelationships,max_daily_capacity,Number,
warehousestorerelationships,status,String,
warehousestorerelationships,backup_warehouse_flag,Boolean,
warehousestorerelationships,average_delivery_delay,Number,
warehousestorerelationships,fuel_cost_estimate,Number,
warehousestorerelationships,preferred_route,String,
warehousestorerelationships,traffic_risk_level,String,
warehousestorerelationships,createdAt,Date,timestamps
warehousestorerelationships,updatedAt,Date,timestamps
skuwarehousemappings,sku_warehouse_mapping_id,String,UNIQUE
skuwarehousemappings,sku_id,String,FK(logical)
skuwarehousemappings,warehouse_id,String,FK(logical)
skuwarehousemappings,storage_priority,String,
skuwarehousemappings,max_storage_quantity,Number,
skuwarehousemappings,min_storage_quantity,Number,
skuwarehousemappings,preferred_storage_zone,String,
skuwarehousemappings,replenishment_source,String,
skuwarehousemappings,active_flag,Boolean,
skuwarehousemappings,regional_demand_score,Number,
skuwarehousemappings,procurement_priority,String,
skuwarehousemappings,storage_cost_per_unit,Number,
skuwarehousemappings,emergency_stock_flag,Boolean,
skuwarehousemappings,createdAt,Date,timestamps
skuwarehousemappings,updatedAt,Date,timestamps
productdistributions,distribution_id,String,UNIQUE
productdistributions,sku_id,String,FK(logical)
productdistributions,store_id,String,FK(logical)
productdistributions,demand_priority,String,
productdistributions,assortment_type,String,
productdistributions,min_stock_allocation,Number,
productdistributions,max_stock_allocation,Number,
productdistributions,preferred_customer_segment,String,
productdistributions,active_flag,Boolean,
productdistributions,local_preference_score,Number,
productdistributions,festival_relevance_score,Number,
productdistributions,climate_relevance,String,
productdistributions,promotion_priority,String,
productdistributions,createdAt,Date,timestamps
productdistributions,updatedAt,Date,timestamps
productcategorydistributions,distribution_id,String,UNIQUE
productcategorydistributions,category_id,String,FK(logical)
productcategorydistributions,expected_sku_count,Number,
productcategorydistributions,demand_priority,String,
productcategorydistributions,storage_share_percentage,Number,
productcategorydistributions,avg_sales_share_percentage,Number,
productcategorydistributions,avg_profit_share,Number,
productcategorydistributions,seasonal_weight,Number,
productcategorydistributions,promotion_frequency,String,
productcategorydistributions,createdAt,Date,timestamps
productcategorydistributions,updatedAt,Date,timestamps
warehouseinventories,warehouse_inventory_id,String,UNIQUE
warehouseinventories,warehouse_id,String,FK(logical)
warehouseinventories,sku_id,String,FK(logical)
warehouseinventories,batch_id,String,
warehouseinventories,quantity_on_hand,Number,
warehouseinventories,allocated_quantity,Number,
warehouseinventories,available_quantity,Number,
warehouseinventories,damaged_quantity,Number,
warehouseinventories,inbound_quantity,Number,
warehouseinventories,outbound_quantity,Number,
warehouseinventories,reorder_flag,Boolean,
warehouseinventories,reorder_level,Number,
warehouseinventories,inventory_status,String,
warehouseinventories,last_stock_update,String,
warehouseinventories,expiry_date,String,
warehouseinventories,storage_zone,String,
warehouseinventories,createdAt,Date,timestamps
warehouseinventories,updatedAt,Date,timestamps
storeinventories,store_inventory_id,String,UNIQUE
storeinventories,store_id,String,FK(logical)
storeinventories,sku_id,String,FK(logical)
storeinventories,batch_id,String,
storeinventories,quantity_on_hand,Number,
storeinventories,reserved_quantity,Number,
storeinventories,available_quantity,Number,
storeinventories,damaged_quantity,Number,
storeinventories,expired_quantity,Number,
storeinventories,inventory_status,String,
storeinventories,reorder_flag,Boolean,
storeinventories,reorder_level,Number,
storeinventories,last_restocked_date,String,
storeinventories,last_stock_update,String,
storeinventories,expiry_date,String,
storeinventories,storage_zone,String,
storeinventories,createdAt,Date,timestamps
storeinventories,updatedAt,Date,timestamps
salestransactions,transaction_id,String,UNIQUE
salestransactions,invoice_id,String,
salestransactions,sales_date,String,
salestransactions,sales_timestamp,String,
salestransactions,store_id,String,FK(logical)
salestransactions,warehouse_id,String,FK(logical)
salestransactions,sku_id,String,FK(logical)
salestransactions,sku_name,String,
salestransactions,category_id,String,FK(logical)
salestransactions,category_name,String,
salestransactions,supplier_id,String,FK(logical)
salestransactions,batch_id,String,
salestransactions,quantity_sold,Number,
salestransactions,unit_price,Number,
salestransactions,selling_price,Number,
salestransactions,discount_percentage,Number,
salestransactions,discount_amount,Number,
salestransactions,total_sales_amount,Number,
salestransactions,promotion_flag,Boolean,
salestransactions,promotion_type,String,
salestransactions,festival_flag,Boolean,
salestransactions,festival_name,String,
salestransactions,season_name,String,
salestransactions,weather_condition,String,
salestransactions,temperature_celsius,Number,
salestransactions,competitor_activity_flag,Boolean,
salestransactions,competitor_discount_percentage,Number,
salestransactions,trend_score,Number,
salestransactions,customer_footfall,Number,
salestransactions,inventory_on_hand,Number,
salestransactions,inventory_state,String,FK(logical via inventorystates.state_name)
salestransactions,stockout_flag,Boolean,
salestransactions,reorder_level,Number,
salestransactions,expiry_date,String,
salestransactions,days_to_expiry,Number,
salestransactions,payment_mode,String,
salestransactions,customer_type,String,
salestransactions,sales_channel,String,
salestransactions,source_system,String,
salestransactions,ingestion_timestamp,String,
salestransactions,createdAt,Date,timestamps
salestransactions,updatedAt,Date,timestamps
