collection,constraint_type,columns
users,unique,email
productcategories,unique,category_id
suppliers,unique,supplier_id
warehouses,unique,warehouse_id
stores,unique,store_id
products,unique,sku_id
inventorystates,unique,inventory_state_id
inventorystates,unique,state_name
stockpatterns,unique,stock_pattern_id
stockpatterns,unique,sku_id
warehousestorerelationships,unique,relationship_id
warehousestorerelationships,unique_composite,"warehouse_id,store_id"
skuwarehousemappings,unique,sku_warehouse_mapping_id
skuwarehousemappings,unique_composite,"sku_id,warehouse_id"
productdistributions,unique,distribution_id
productdistributions,unique_composite,"sku_id,store_id"
productcategorydistributions,unique,distribution_id
warehouseinventories,unique,warehouse_inventory_id
warehouseinventories,unique_composite,"warehouse_id,sku_id,batch_id"
storeinventories,unique,store_inventory_id
storeinventories,unique_composite,"store_id,sku_id,batch_id"
salestransactions,unique,transaction_id
