month,year,sku_id,sku_name,category,subcategory,monthly_units_sold,avg_daily_sales,total_revenue,spike_percentage,spike_reason,event_type,inventory_impact,demand_trend,festival_effect,seasonal_effect,promotion_effect,weekend_effect,stockout_days,lost_sales_units,business_notes
January,2024,SKU0264,Air Freshener Spray 300ml,Household,Air Freshener,219,7.1,34821.0,-11.7,Regular consumer demand,Normal Trading,Adequate inventory maintained,Moderate Decline,None,No Winter relevance,None,1% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0176,Water Bottle 1L,Household,Kitchenware,559,18.0,128011.0,-5.1,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0060,Black Channa 1kg,Grocery,Pulses,774,25.0,76626.0,-10.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Moderate Decline,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0094,Energy Drink 250ml,Beverages,Beverages,171,5.5,23769.0,10.3,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0097,Green Tea 100g,Beverages,Tea,116,3.7,19604.0,-6.5,Regular consumer demand,Normal Trading,Low stock impact - 3 units missed opportunity,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,3,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0062,Fresh Milk 1L,Dairy,Milk,1188,38.3,60588.0,3.6,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,7% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0138,Tomato 1kg,Fruits & Vegetables,Vegetables,960,31.0,40320.0,3.2,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,9% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0139,Onion 1kg,Fruits & Vegetables,Vegetables,1233,39.8,39456.0,-0.6,Regular consumer demand,Normal Trading,Low stock impact - 43 units missed opportunity,Stable,None,No Winter relevance,None,9% avg weekend uplift,0,43,Seasonal factor: No Winter relevance
January,2024,SKU0294,Men's Kurta Set XL,Lifestyle,Clothing,815,26.3,1710685.0,75.3,Pongal demand surge - Festival,Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,7% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0123,Muffins 2pcs,Bakery,Bakery,83,2.7,6557.0,-10.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Moderate Decline,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
